country,year,gdp_millions,population,fossil_share_energy,fossil_share_elec,biofuel_consumption,biofuel_share_energy,solar_consumption,solar_share_energy,wind_consumption,wind_share_energy,hydro_consumption,hydro_share_energy,nuclear_consumption,nuclear_share_energy,other_renewable_consumption,other_renewables_share_energy,greenhouse_gas_emissions,energy_per_capita,primary_energy_consumption,per_capita_electricity,electricity_generation,green_energy_consumption,fossil_energy_consumption,renewable_share_energy
Bahrain,2014,53661.77,1311142.0,0.0,99.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.55,153929.594,201.824,19547.844,25.63,0.0,0.0,0.0
Bahrain,2020,0.0,1477478.0,0.0,99.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,156095.797,230.628,20210.115,29.86,0.0,0.0,0.0
Bangladesh,2005,280327.127,140912592.0,98.864,94.967,0.0,0.0,0.01,0.005,0.0,0.0,2.145,1.131,0.0,0.0,0.0,0.0,14.13,1345.851,189.647,180.466,25.43,2.155,187.493,1.1363216924074726
Bangladesh,2014,517114.528,155961312.0,99.37,98.46,0.0,0.0,0.452,0.142,0.014,0.004,1.535,0.482,0.0,0.0,0.006,0.002,30.06,2040.698,318.27,337.199,52.59,2.0069999999999997,316.264,0.6305966632104816
Bangladesh,2020,0.0,167420944.0,99.368,98.27,0.0,0.0,1.022,0.224,0.013,0.003,1.84,0.403,0.0,0.0,0.012,0.003,42.42,2730.078,457.072,452.273,75.72,2.887,454.184,0.6316291525186404
Barbados,2005,3466.246,269489.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,26715.061,7.199,3525.19,0.95,0.0,0.0,0.0
Barbados,2014,3416.2,277501.0,0.0,98.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,23147.074,6.423,3495.483,0.97,0.0,0.0,0.0
Barbados,2020,0.0,280704.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,21577.828,6.057,3562.471,1.0,0.0,0.0,0.0
Belarus,2005,123858.051,9935166.0,99.963,99.863,0.0,0.0,0.0,0.0,0.003,0.001,0.103,0.036,0.0,0.0,0.0,0.0,14.24,28600.459,284.15,2929.996,29.11,0.106,284.044,0.037304240717930676
Belarus,2014,180852.933,9693741.0,99.696,99.173,0.288,0.098,0.005,0.002,0.024,0.008,0.328,0.111,0.0,0.0,0.252,0.086,15.89,30426.229,294.944,3366.09,32.63,0.897,294.046,0.30412552891396333
